Sample.Name,id_number,id_year,Run,BioProject,BioSample,carapace_length_mm,Center.Name,Collection_Date,dev_stage,Ecotype,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,library_id,Library.Name,library_name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,sex,site_name,SRA.Study,store_cond,tissue,year_sequenced,resequenced
FC1-13,13,NA,SRR30264461,PRJNA1148680,SAMN43213454,40,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725573,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-13_RSC4_2021,FC1-13_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-14,14,NA,SRR30264449,PRJNA1148680,SAMN43213455,37,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725585,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-14_RSC4_2021,FC1-14_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-15,15,NA,SRR30263972,PRJNA1148680,SAMN43213456,31,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725094,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-15_RSC4_2021,FC1-15_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-16,16,NA,SRR30264443,PRJNA1148680,SAMN43213457,40,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725591,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-16_RSC4_2021,FC1-16_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-17,17,NA,SRR30264432,PRJNA1148680,SAMN43213458,38,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725602,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-17_RSC1_2021,FC1-17_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-18,18,NA,SRR30263955,PRJNA1148680,SAMN43213459,34,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725111,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-18_RSC1_2021,FC1-18_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-19,19,NA,SRR30263730,PRJNA1148680,SAMN43213460,41,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25724992,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-19_RSC1_2021,FC1-19_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-2,2,NA,SRR30264213,PRJNA1148680,SAMN43213443,34,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725197,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-2_RSC3_2021,FC1-2_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-20,20,NA,SRR30264189,PRJNA1148680,SAMN43213461,40,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725221,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-20_RSC1_2021,FC1-20_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-21,21,NA,SRR30264178,PRJNA1148680,SAMN43213462,37,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725232,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-21_RSC1_2021,FC1-21_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-22,22,NA,SRR30263943,PRJNA1148680,SAMN43213463,38,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725123,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-22_RSC1_2021,FC1-22_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-23,23,NA,SRR30264718,PRJNA1148680,SAMN43213464,38,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725660,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-23_RSC1_2021,FC1-23_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-24,24,NA,SRR30264706,PRJNA1148680,SAMN43213465,40,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725672,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-24_RSC1_2021,FC1-24_RSC1_2021,RSC1,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-25,25,NA,SRR30263925,PRJNA1148680,SAMN43213466,42,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725141,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-25_RSC4_2021,FC1-25_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-26,26,NA,SRR30264428,PRJNA1148680,SAMN43213467,35,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725606,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-26_RSC4_2021,FC1-26_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-27,27,NA,SRR30264417,PRJNA1148680,SAMN43213468,35,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725617,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-27_RSC4_2021,FC1-27_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-28,28,NA,SRR30263908,PRJNA1148680,SAMN43213469,35,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725158,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-28_RSC4_2021,FC1-28_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-29,29,NA,SRR30264699,PRJNA1148680,SAMN43213470,36,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725679,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-29_RSC4_2021,FC1-29_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-3,3,NA,SRR30264508,PRJNA1148680,SAMN43213444,36,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725526,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-3_RSC3_2021,FC1-3_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-30,30,NA,SRR30264688,PRJNA1148680,SAMN43213471,34,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725690,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-30_RSC4_2021,FC1-30_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-4,4,NA,SRR30264496,PRJNA1148680,SAMN43213445,42,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725538,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-4_RSC3_2021,FC1-4_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-5,5,NA,SRR30264019,PRJNA1148680,SAMN43213446,34,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725047,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-5_RSC3_2021,FC1-5_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-6,6,NA,SRR30264490,PRJNA1148680,SAMN43213447,32,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725544,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-6_RSC3_2021,FC1-6_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-7,7,NA,SRR30264013,PRJNA1148680,SAMN43213448,37,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725053,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-7_RSC3_2021,FC1-7_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-8,8,NA,SRR30264002,PRJNA1148680,SAMN43213449,30,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725064,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-8_RSC3_2021,FC1-8_RSC3_2021,RSC3,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC11,SRP526750,95% ethanol,gill,2021,
FC1-9,9,NA,SRR30264473,PRJNA1148680,SAMN43213450,32,MICHIGAN STATE UNIVERSITY,2019-08,adult,Group 3,SRX25725561,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC1-9_RSC4_2021,FC1-9_RSC4_2021,RSC4,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC11,SRP526750,95% ethanol,gill,2021,
FC12-1,1,NA,SRR30264163,PRJNA1148680,SAMN43213472,43,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725247,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-1_RSC11_2021,FC12-1_RSC11_2021,RSC11,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-10,10,NA,SRR30264657,PRJNA1148680,SAMN43213481,35,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725721,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-10_RSC12_2021,FC12-10_RSC12_2021,RSC12,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-11,11,NA,SRR30264148,PRJNA1148680,SAMN43213482,40,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725262,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-11_RSC12_2021,FC12-11_RSC12_2021,RSC12,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-12,12,NA,SRR30264395,PRJNA1148680,SAMN43213483,42,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725639,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-12_RSC12_2021,FC12-12_RSC12_2021,RSC12,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-13,13,NA,SRR30264384,PRJNA1148680,SAMN43213484,46,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725650,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-13_RSC12_2021,FC12-13_RSC12_2021,RSC12,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-14,14,NA,SRR30264644,PRJNA1148680,SAMN43213485,42,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725734,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-14_RSC5_2021,FC12-14_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-15,15,NA,SRR30263847,PRJNA1148680,SAMN43213486,41,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25724875,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-15_RSC5_2021,FC12-15_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-16,16,NA,SRR30264382,PRJNA1148680,SAMN43213487,38,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725652,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-16_RSC5_2021,FC12-16_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-17,17,NA,SRR30264371,PRJNA1148680,SAMN43213488,49,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725351,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-17_RSC5_2021,FC12-17_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-18,18,NA,SRR30264134,PRJNA1148680,SAMN43213489,36,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725276,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-18_RSC5_2021,FC12-18_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-19,19,NA,SRR30264637,PRJNA1148680,SAMN43213490,40,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725741,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-19_RSC5_2021,FC12-19_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,female,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-2,2,NA,SRR30263896,PRJNA1148680,SAMN43213473,35,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725170,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-2_RSC11_2021,FC12-2_RSC11_2021,RSC11,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-20,20,NA,SRR30264626,PRJNA1148680,SAMN43213491,35,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725752,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-20_RSC5_2021,FC12-20_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-21,21,NA,SRR30264117,PRJNA1148680,SAMN43213492,32,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25725293,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-21_RSC5_2021,FC12-21_RSC5_2021,RSC5,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC2,SRP526750,95% ethanol,gill,2021,
FC12-22,22,NA,SRR30263834,PRJNA1148680,SAMN43213493,36,MICHIGAN STATE UNIVERSITY,2020-09,adult,Group 3,SRX25724888,USA,North America,USA: southeastern Michigan,Illumina NovaSeq 6000,FC12-22_RSC6_2021,FC12-22_RSC6_2021,RSC6,PAIRED,Hybrid Selection,GENOMIC,Procambarus clarkii,ILLUMINA,male,EastGC2,SRP526750,95% ethanol,gill,2021,
